created_on,privilege,granted_on,name,granted_to,grantee_name,grant_option,granted_by
2023-03-29 11:52:02.128 -0700,CREATE COMPUTE POOL,ACCOUNT,NR74328,ROLE,SYSADMIN,true,
2023-03-29 11:52:02.126 -0700,CREATE DATABASE,ACCOUNT,NR74328,ROLE,SYSADMIN,true,
2025-03-31 16:15:00.840 -0700,CREATE INTEGRATION,ACCOUNT,NR74328,ROLE,SYSADMIN,false,ACCOUNTADMIN
2023-03-29 11:52:02.126 -0700,CREATE WAREHOUSE,ACCOUNT,NR74328,ROLE,SYSADMIN,true,
2023-05-30 05:25:45.189 -0700,EXECUTE ALERT,ACCOUNT,NR74328,ROLE,SYSADMIN,false,ACCOUNTADMIN
2025-04-21 19:33:25.592 -0700,EXECUTE MANAGED ALERT,ACCOUNT,NR74328,ROLE,SYSADMIN,false,ACCOUNTADMIN
2023-04-28 10:25:58.468 -0700,EXECUTE MANAGED TASK,ACCOUNT,NR74328,ROLE,SYSADMIN,false,ACCOUNTADMIN
2023-04-28 10:36:31.736 -0700,EXECUTE TASK,ACCOUNT,NR74328,ROLE,SYSADMIN,false,ACCOUNTADMIN
2024-04-26 04:34:20.358 -0700,OWNERSHIP,ALERT,TEST_CLONE_DB.NETWORK_ADJUSTERS.ALERT_NETWORK_ADJUSTERS_DUPLICATE_RECORDS_CLAIM,ROLE,SYSADMIN,true,SYSADMIN
2024-04-26 04:34:20.696 -0700,OWNERSHIP,ALERT,TEST_CLONE_DB.NETWORK_ADJUSTERS.ALERT_NETWORK_ADJUSTERS_DUPLICATE_RECORDS_CLAIMANT,ROLE,SYSADMIN,true,SYSADMIN
2024-04-26 04:34:20.834 -0700,OWNERSHIP,ALERT,TEST_CLONE_DB.NETWORK_ADJUSTERS.ALERT_NETWORK_ADJUSTERS_DUPLICATE_RECORDS_DRAFT,ROLE,SYSADMIN,true,SYSADMIN
2024-04-26 04:34:20.922 -0700,OWNERSHIP,ALERT,TEST_CLONE_DB.NETWORK_ADJUSTERS.ALERT_NETWORK_ADJUSTERS_DUPLICATE_RECORDS_DRIVER,ROLE,SYSADMIN,true,SYSADMIN
2024-04-26 04:34:21.014 -0700,OWNERSHIP,ALERT,TEST_CLONE_DB.NETWORK_ADJUSTERS.ALERT_NETWORK_ADJUSTERS_DUPLICATE_RECORDS_LEGAL,ROLE,SYSADMIN,true,SYSADMIN
2024-04-26 04:34:21.125 -0700,OWNERSHIP,ALERT,TEST_CLONE_DB.NETWORK_ADJUSTERS.ALERT_NETWORK_ADJUSTERS_DUPLICATE_RECORDS_LOSADDR,ROLE,SYSADMIN,true,SYSADMIN
2024-04-26 04:34:21.246 -0700,OWNERSHIP,ALERT,TEST_CLONE_DB.NETWORK_ADJUSTERS.ALERT_NETWORK_ADJUSTERS_DUPLICATE_RECORDS_LOSRES,ROLE,SYSADMIN,true,SYSADMIN
